 time            v(voutp)        v(voutn)       
 5.87000000e-10  1.12309068e+00  1.25914057e+00 
 5.89000000e-10  1.12533499e+00  1.25682669e+00 
 5.91000000e-10  1.12759416e+00  1.25449686e+00 
 5.93000000e-10  1.12986761e+00  1.25215174e+00 
 5.95000000e-10  1.13215478e+00  1.24979195e+00 
 5.97000000e-10  1.13445519e+00  1.24741807e+00 
 5.98500000e-10  1.13618893e+00  1.24562871e+00 
 6.00000000e-10  1.13792972e+00  1.24383191e+00 
 6.00200000e-10  1.13816241e+00  1.24359172e+00 
 6.00600000e-10  1.13862803e+00  1.24311108e+00 
 6.01400000e-10  1.13956075e+00  1.24214826e+00 
 6.03000000e-10  1.14143193e+00  1.24021657e+00 
 6.05000000e-10  1.14378150e+00  1.23779080e+00 
 6.07000000e-10  1.14614259e+00  1.23535294e+00 
 6.09000000e-10  1.14851484e+00  1.23290335e+00 
 6.11000000e-10  1.15089788e+00  1.23044243e+00 
 6.13000000e-10  1.15329129e+00  1.22797061e+00 
 6.15000000e-10  1.15569460e+00  1.22548837e+00 
 6.17000000e-10  1.15810732e+00  1.22299622e+00 
 6.19000000e-10  1.16052893e+00  1.22049468e+00 
 6.21000000e-10  1.16295893e+00  1.21798429e+00 
 6.23000000e-10  1.16539682e+00  1.21546555e+00 
 6.25000000e-10  1.16784212e+00  1.21293898e+00 
 6.27000000e-10  1.17029437e+00  1.21040506e+00 
 6.29000000e-10  1.17275311e+00  1.20786427e+00 
 6.31000000e-10  1.17521789e+00  1.20531706e+00 
 6.33000000e-10  1.17768824e+00  1.20276395e+00 
 6.35000000e-10  1.18016362e+00  1.20020549e+00 
 6.37000000e-10  1.18264337e+00  1.19764239e+00 
 6.39000000e-10  1.18512663e+00  1.19507562e+00 
 6.41000000e-10  1.18761216e+00  1.19250653e+00 
 6.43000000e-10  1.19009823e+00  1.18993708e+00 
 6.45000000e-10  1.19258236e+00  1.18737008e+00 
 6.47000000e-10  1.19506113e+00  1.18480943e+00 
 6.49000000e-10  1.19752997e+00  1.18226035e+00 
 6.51000000e-10  1.19998297e+00  1.17972956e+00 
 6.53000000e-10  1.20241288e+00  1.17722528e+00 
 6.55000000e-10  1.20481115e+00  1.17475710e+00 
 6.57000000e-10  1.20716824e+00  1.17233562e+00 
 6.59000000e-10  1.20947405e+00  1.16997191e+00 
 6.61000000e-10  1.21171854e+00  1.16767674e+00 
 6.63000000e-10  1.21389249e+00  1.16545976e+00 
 6.65000000e-10  1.21598822e+00  1.16332868e+00 
 6.67000000e-10  1.21800024e+00  1.16128858e+00 
 6.69000000e-10  1.21992577e+00  1.15934146e+00 
 6.71000000e-10  1.22176492e+00  1.15748617e+00 
 6.73000000e-10  1.22352051e+00  1.15571868e+00 
 6.75000000e-10  1.22519766e+00  1.15403267e+00 
 6.77000000e-10  1.22680304e+00  1.15242044e+00 
 6.79000000e-10  1.22834404e+00  1.15087384e+00 
 6.81000000e-10  1.22982781e+00  1.14938528e+00 
 6.83000000e-10  1.23126060e+00  1.14794838e+00 
 6.85000000e-10  1.23264723e+00  1.14655850e+00 
 6.87000000e-10  1.23399087e+00  1.14521274e+00 
 6.89000000e-10  1.23529325e+00  1.14390973e+00 
 6.91000000e-10  1.23655492e+00  1.14264913e+00 
 6.93000000e-10  1.23777591e+00  1.14143104e+00 
 6.95000000e-10  1.23895614e+00  1.14025538e+00 
 6.97000000e-10  1.24009598e+00  1.13912152e+00 
 6.99000000e-10  1.24119646e+00  1.13802803e+00 
 7.01000000e-10  1.24225931e+00  1.13697275e+00 
 7.03000000e-10  1.24328684e+00  1.13595301e+00 
